time,husky_odom_pose_x,husky_odom_pose_y,husky_odom_pose_theta,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,filtered_odom_pose_x,filtered_odom_pose_y,filtered_odom_pose_theta
1728293498.373728,0.6495168421133121,1.7721656859745376,0.9349154529791439,0.00017108291599360925,0.0002645434615350953,0.6202308479676314,0.7844192730783364,1.7653110059067079,1.4441033883076515,0.6207111295814042
1728293498.473702,0.6113369175553942,1.8043632562869436,0.9434787605479159,0.0001748094729379794,0.00026603114449312825,0.6202295373398716,0.7844203080493565,1.776764853979791,1.492722909319984,0.6207637504431474
1728293498.5738206,0.5716218286411965,1.8345994059857011,0.9514466677579133,0.0002264984052903392,0.00031385922332901743,0.6203568237614971,0.7843196168676434,1.788205958141862,1.5413113835306007,0.6208866128068821
1728293498.674006,0.5303987185764198,1.8628514922411215,0.9588371679874991,0.00016337902982458267,0.00026496218691794156,0.6272492312681629,0.7788185314794654,1.7994001559904016,1.590025623715195,0.6272474938296505
1728293498.7738438,0.48780406925046305,1.8890157566121264,0.9656341883585923,0.00016166749529214526,0.0002678748928209444,0.6389302465311134,0.7692646112842797,1.809357646364835,1.6390170853874044,0.6390166891754745
1728293498.8739028,0.44396658480735124,1.9130135539355366,0.9718252124528748,0.00016180849131179403,0.0002692068600376437,0.6402886915699147,0.7681342934626504,1.8183303388923069,1.688189233684583,0.6408753263325684
1728293498.9737384,0.39897897654517495,1.9347947299650048,0.9774111306593602,0.00016143897866508777,0.00026951732724295104,0.6402833111653141,0.7681387783083523,1.8272542667011016,1.737375621816427,0.6408916860390341
1728293499.0738401,0.3529497043774921,1.9543048435028387,0.9823885766283468,0.0001502484312827142,0.0002730665385764183,0.6402760147402662,0.7681448612132982,1.8361780923262987,1.786571362678203,0.6409054483277014
1728293499.1740193,0.3060119222063959,1.9714962896940609,0.9866644456814769,-0.0009242754233563123,-9.243076203081687e-05,0.6435323507004951,0.7654183501676657,1.8450539313255263,1.8357659689960828,0.643618162088347
1728293499.27382,0.2584578392246638,1.9864556090543575,0.9901110498620278,3.35912422745152e-06,0.0005140894705054765,0.6714089590909772,0.7410868676161408,1.8522449691283323,1.8850785425796142,0.6703616306721126
1728293499.3740337,0.21010547343951466,1.9991380744794174,0.9933072626081562,0.00013079793575045053,0.00027370588464930467,0.6978965062039167,0.7161985580866213,1.855578769682713,1.935453014472904,0.6974787439488135
1728293499.473956,0.16115035927321422,2.0093951222912123,0.9958825701488648,0.00011947625279368469,0.0002758382018043477,0.7189576985274605,0.6950537658101054,1.855514375172284,1.9849703717832687,0.7185257559446463
1728293499.573918,0.11170756568218608,2.0172010002491687,0.9978349908722469,0.000111024964983376,0.00027966272859060714,0.736270204800078,0.6766875903885536,1.8526901387628105,2.034948330923169,0.7359738616544862
1728293499.673971,0.061971585809492837,2.0225288461295383,0.9991626984706541,-7.328455626929298e-05,0.000283516276610789,0.7525039198994148,0.6585877047014391,1.8474223140162036,2.0846824344178585,0.7522282881566124
1728293499.7739685,0.012114443942049318,2.0253820292092253,0.9998677217072082,-0.00016617980881546523,0.0003091765982044954,0.7672196920944037,0.6413843004444924,1.8397338608872726,2.134004561864985,0.767227677691387
